0,space,212222
1,!,222122
2,"""",222221
3,#,121223
4,$,121322
5,%,131222
6,&,122213
7,',122312
8,(,132212
9,),221213
10,*,221312
11,+,231212
12,",",112232
13,-,122132
14,.,122231
15,/,113222
16,0,123122
17,1,123221
18,2,223211
19,3,221132
20,4,221231
21,5,213212
22,6,223112
23,7,312131
24,8,311222
25,9,321122
26,:,321221
27,;,312212
28,<,322112
29,=,322211
30,>,212123
31,?,212321
32,@,232121
33,A,111323
34,B,131123
35,C,131321
36,D,112313
37,E,132113
38,F,132311
39,G,211313
40,H,231113
41,I,231311
42,J,112133
43,K,112331
44,L,132131
45,M,113123
46,N,113321
47,O,133121
48,P,313121
49,Q,211331
50,R,231131
51,S,213113
52,T,213311
53,U,213131
54,V,311123
55,W,311321
56,X,331121
57,Y,312113
58,Z,312311
59,[,332111
60,\,314111
61,],221411
62,^,431111
63,_,111224
64,`,111422
65,a,121124
66,b,121421
67,c,141122
68,d,141221
69,e,112214
70,f,112412
71,g,122114
72,h,122411
73,i,142112
74,j,142211
75,k,241211
76,l,221114
77,m,413111
78,n,241112
79,o,134111
80,p,111242
81,q,121142
82,r,121241
83,s,114212
84,t,124112
85,u,124211
86,v,411212
87,w,421112
88,x,421211
89,y,212141
90,z,214121
91,{,412121
92,|,111143
93,},111341
94,~,131141
95,DEL,114113
96,FNC 3,114311
97,FNC 2,411113
98,Shift A,411311
99,Code C,113141
100,FNC 4,114131
101,Code A,311141
102,FNC 1,411131
103,Start Code A,211412
104,Start Code B,211214
105,Start Code C,211232
106,STOP,2331112